"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1842794012639736165","Sun Oct 06 05:08:24 +0000 2024","191","Presiden terpilih Prabowo nampak makin mesra dengan wapresnya Gibran saat hadir di acara peringatan ke 79 TNI Mematahkan isu pecah kongsi. Setelah pelantikan presiden dan wapres akan punya tugas masing masing. Jadi kalau nanti mereka sendiri sendiri jangan bikin isu yang https://t.co/gKYUAR9QVh","1842794012639736165","https://pbs.twimg.com/amplify_video_thumb/1842793953181282304/img/BPgCvJvkkP2CrIaz.jpg","","in","Sweet home","6","100","51","https://x.com/__LOVE_AG4EVER/status/1842794012639736165","799023207294504960","__LOVE_AG4EVER"
"1843854040159178912","Wed Oct 09 03:20:34 +0000 2024","77","Babe Haikal Nilai Prabowo seperti Nabi Ibraham ketika Menghadapi Raja Namrud https://t.co/ktQCVNMHEL","1843854040159178912","","","in","","46","359","29","https://x.com/OposisiCerdas/status/1843854040159178912","887743587579944960","OposisiCerdas"
"1844313334369178097","Thu Oct 10 09:45:39 +0000 2024","9","Presiden terpilih Prabowo Subianto berencana mengubah skema subsidi dari awalnya berbasis barang menjadi tertutup alias langsung dikirimkan kepada penerima yang berhak. #bisnisupdate #update #bisnis #ignews https://t.co/yltPO6T99C","1844313334369178097","https://pbs.twimg.com/media/GZhREUiWMAorqln.jpg","","in","","2","2","3","https://x.com/kumparan/status/1844313334369178097","759692754985242625","kumparan"
"1842458072880693401","Sat Oct 05 06:53:30 +0000 2024","58","Pak @prabowo kayak jijik gitu dekat2 fufufafa yang menghina dirinya anaknya dan mantan istrinya.. https://t.co/1KvPvER4Mz","1842458072880693401","https://pbs.twimg.com/media/GZG52YTbsAAT44F.jpg","","in","Indonesia","3","20","13","https://x.com/NalarPolitik_/status/1842458072880693401","214159664","NalarPolitik_"
"1845370411229511884","Sun Oct 13 07:46:06 +0000 2024","108","Jokowi dan Prabowo Mendadak Lakukan Pertemuan Tertutup di Solo https://t.co/WYgnPjn8zw https://t.co/5QZEnKHRW0","1845370411229511884","https://pbs.twimg.com/media/GZwSnCSaAAANatu.jpg","","in","Jakarta","23","67","30","https://x.com/kompascom/status/1845370411229511884","23343960","kompascom"
"1844537136122560975","Fri Oct 11 00:34:57 +0000 2024","82","Peringatan Prabowo ke Semua Partai Koalisi: Menteri Jangan Cari Uang dari APBN-APBD https://t.co/JPka9cTFKl","1844537136122560975","","","in","Indonesia","3","32","35","https://x.com/geloraco/status/1844537136122560975","3319260420","geloraco"
"1844890726477463879","Sat Oct 12 00:00:00 +0000 2024","17","Prabowo Ingatkan Ketum Parpol Tak Suruh Menteri Cari Uang dari APBN Efektif Cegah Korupsi? https://t.co/s1FEfECr0K","1844890726477463879","","","in","Jakarta","3","21","2","https://x.com/liputan6dotcom/status/1844890726477463879","47596019","liputan6dotcom"
"1844716415770558596","Fri Oct 11 12:27:21 +0000 2024","79","PKB Cemas tak Dapat Menteri di Kabinet Prabowo Cak Imin: Jangankan Bahas Ketemu aja nggak Pernah https://t.co/QHicXkbzKi","1844716415770558596","","","in","Indonesia","4","43","23","https://x.com/geloraco/status/1844716415770558596","3319260420","geloraco"
"1845365658483294252","Sun Oct 13 07:27:12 +0000 2024","24","Gibran Sebut akan Makan Siang Bersama Jokowi dan Prabowo di Solo https://t.co/yTFEAAw8Qb","1845365658483294252","","","in","Indonesia","5","44","8","https://x.com/KompasTV/status/1845365658483294252","71436318","KompasTV"
"1845476591482335602","Sun Oct 13 14:48:01 +0000 2024","124","Terjadi kontak senjata api saat pelantikan GRIB Jaya (ormas Hercules sayap Prabowo) di Medan Satu2nya ormas kuat yg merasa terganggu adalah PP dari keluarga Shah. Jika ormas PP di Medan yg sdh jadi mafia &amp; penguasa dan tdk bisa dibasmi oleh pemerintah maka GRIB Jaya diperlukan https://t.co/rgEYpGypYF","1845476591482335602","https://pbs.twimg.com/ext_tw_video_thumb/1845476553830158336/pu/img/FXfehHgcXKHFWlIy.jpg","","in","","4","20","32","https://x.com/SammiSoh/status/1845476591482335602","795498951336075264","SammiSoh"
"1842398703979745785","Sat Oct 05 02:57:35 +0000 2024","1521","MASIH NGANTUK? Kalah segar ma yg lebih berumur Pak @prabowo dan Pak @Kiyai_MarufAmin moga sehat slalu. Amien YRA https://t.co/cWwp3sxN6F","1842398703979745785","https://pbs.twimg.com/media/GZGD23GbsAAh7HP.jpg","","in","Jakarta Capital Region","18","321","311","https://x.com/Duren___/status/1842398703979745785","1501606510979256323","Duren___"
"1845433166388985934","Sun Oct 13 11:55:28 +0000 2024","15","Prabowo Temui Jokowi di Solo Ada Apa? https://t.co/R5V60ZIi1g","1845433166388985934","","","in","Indonesia","3","14","3","https://x.com/geloraco/status/1845433166388985934","3319260420","geloraco"
"1843660410148516237","Tue Oct 08 14:31:09 +0000 2024","273","Pelantikan Prabowo-Gibran itu pagi hari Tanggal 20 Okt sore saya pulang ke solo tidur Judul berita : Jokowi tidak hadir pelantikan Prabowo-Gibran Pinter mancing Pak Jokowi ini buat nangkep ikan wkwk https://t.co/BLTZbkvcp5","1843660410148516237","https://pbs.twimg.com/ext_tw_video_thumb/1843660345694662657/pu/img/SK8-l2SOkRtNUxfZ.jpg","","in","","6","51","43","https://x.com/tekarok007/status/1843660410148516237","1184695438365974528","tekarok007"
"1844566078535692423","Fri Oct 11 02:29:58 +0000 2024","736"," Jokowi adalah puncak kejahatan. Kejahatan Jokowi menjadi beban bagi Prabowo. Ketidaktaatan Jokowi pada hukum menimbulkan defisit anggaran kerusakan lingkungan rusaknya kehangatan bernegara dll (RG) #JokowiTakutDilengserkan #JokowiTakutDilengserkan https://t.co/BQzpIt3Lo2","1844566078535692423","https://pbs.twimg.com/ext_tw_video_thumb/1844566041629982720/pu/img/jMAbFqnE2k3itK9v.jpg","","in","","7","13","348","https://x.com/dancersejati07/status/1844566078535692423","1605747132014637061","dancersejati07"
"1844238232390860894","Thu Oct 10 04:47:13 +0000 2024","1293",". * ATRAKSI THE PRABOWO SHOW DARI PSI..!!!* Seperti inilah : *Penampakan dan Kelakuan para penjilat itu.* Mereka : *Gemar memutar balikan kata dengan cara menjadi penjilat demi mengharapkan jabatan.* https://t.co/fGfAIQhP1X","1844238232390860894","https://pbs.twimg.com/ext_tw_video_thumb/1844238181614616577/pu/img/t7N7O3yyNLO1I7PH.jpg","","in","Jakarta Capital Region","40","90","828","https://x.com/BarisanPemudaRI/status/1844238232390860894","87901651","BarisanPemudaRI"
"1844378766665187788","Thu Oct 10 14:05:39 +0000 2024","23","Prabowo Bakal Sulit Mengistirahatkan Jokowi https://t.co/gRCuGddTPQ","1844378766665187788","","","in","Indonesia","4","16","10","https://x.com/geloraco/status/1844378766665187788","3319260420","geloraco"
"1844782285486490050","Fri Oct 11 16:49:05 +0000 2024","31","Ketua BWI Sebut Wakaf Bisa Bantu Program Makan Bergizi Gratis Prabowo-Gibran https://t.co/lvvwVjLA0J","1844782285486490050","","","in","","28","57","16","https://x.com/VIVAcoid/status/1844782285486490050","41730943","VIVAcoid"
"1844316880611442720","Thu Oct 10 09:59:44 +0000 2024","28","Bocoran Kabinet Prabowo-Gibran: Ada 46 Kementerian https://t.co/zrX5OXYxfC","1844316880611442720","","","in","","4","19","8","https://x.com/CNNIndonesia/status/1844316880611442720","17128975","CNNIndonesia"
"1843538621552595229","Tue Oct 08 06:27:13 +0000 2024","15","Gus Yahya sebut kader NU siap untuk masuk dalam pemerintahan Prabowo. https://t.co/sjfKze2gH8","1843538621552595229","","","in","Jakarta, Indonesia","5","45","4","https://x.com/republikaonline/status/1843538621552595229","22126902","republikaonline"
