id_str,full_text
1843578053437600225,#TempoThread Setelah dua kali gagal memindahkan ibu kota ke IKN Presiden Jokowi seolah bilang 'Udah biar Prabowo aja yang teken Keppres pindah ibu kotanya!' Jokowi seakan merasa tanggung jawab besar ini bukan lagi miliknya.. A Thread https://t.co/uduXAWMFkC
1829550867919552844,Astaghfirullahaladziiim Ketika Pak @prabowo membagikan foto indah nostalgia keluarga Dan Bu Titiek merespons dengan manis: Momen terbaik Mas Tiba-tiba ada makhluk tolol goblok idiot komen sadis begini: Cerai Anak homo Betul-betul kurang ajar nggak tahu adab ngga punya https://t.co/4YlsY88siG
1758481085649105078,PEMERINTAH AMERIKA SERIKAT TOLAK UCAPKAN SELAMAT KE PRABOWO. KARENA CURANG? https://t.co/cTg0Mqu35I
1656865977915838465,Semangat Pemuda-Pemudi Indonesia!!! Harumkan Nama Bangsa! https://t.co/nLnIbnIEEF
1760214804755828969,Fun fact hari ini : ️ Moeldoko tidak menghadiri pelantikan AHY di Istana ️ AHY akan satu meja dengan Moeldoko saat rapat kabinet ️ Kewenangan AHY (Pensiunan Mayor) lebih besar dari kewenangan Moeldoko (Mantan Panglima) ️ Moeldoko dan AHY sama2 pendukung Prabowo jika https://t.co/b0FF2XnxQ5
1775478386586264032,Momen Pelantikan 445 PPPK Pamekasan Joget Pakai Lagu Kampanye Prabowo https://t.co/5uYJSLu56k
1844566478638796813,Meresmikan Istana Negara di IKN tapi tidak berani menandatangani Perpres Ibukota Negara Ini sih JEBAKAN untuk Prabowo namanya Yang bertandatangan di prasasti nama Jokowi tapi yang menanggung resikonya Prabowo seumur hidup https://t.co/3knmW2a6G2
1843780454639644700,Makan Malam dengan Prabowo Jokowi: Tidak Terasa Dua Jam Lebih https://t.co/JI8abfmyTn https://t.co/kcCi3GjBGT
1766661568715178179,Alhamdulillah Berawal dari viralnya adik Lastri menangis dibully karena jadi pemulung..akhirnya dapat bantuan dari Pak Prabowo rumah layak huni lahan dan ternak. Sehat selalu adik dan juga Pak Prabowo.. https://t.co/ktozoS2fxc
1820400697814499741,Keluarga Rothschild (keluarga yg menciptakan negara Israel) membangun pabrik di Batam dan langsung disambut hangat oleh prabowo Prabowo mengatakan dirinya merupakan sahabat dekat keluarga Rothschild https://t.co/OHUiHkMqTv
1749089632787353701,Mencari aktivis yang hilang diculik Prabowo https://t.co/R7FQLclrHd
1834778275690037649,Menghadiri dan mendengarkan arahan Presiden RI @jokowi dalam Sidang Kabinet Paripurna terakhir. Istana Garuda Ibu Kota Nusantara. https://t.co/lNEDjlhxtb
1843983967260971420,Sikap diam Prabowo saat ini dng isue IKN Fufufafa dan hal lain yg berkaitan dengan tumpukan dosa-dosa Jokowi sepanjang 2 periode pemerintahannya diyakini sebagai sikap yg tidak ingin memantik hal-hal diluar nalar dari besarnya bahaya sikap tak terduga dari Presiden berkuasa saat https://t.co/Af9klXRM5g
1759110191709298876,Kata Gus Miftah program Food Estate Pak Prabowo mencontoh Nabi Yusuf makan siang gratis mencontoh Nabi Ibrahim dan hilirisasi mencontoh Nabi Muhammad. Mudah-mudahan programnya berhasil semua biar para nabi gak disalahin. Amin. https://t.co/BKa1DT3yab
1843945512967516394,Mulyono gini amat cawe-cawenya.. Kenapa Prabowo sebagai presiden terpilih diperlakukan seperti itu?! https://t.co/GUaxLcpqCK
1845036488855298264,Wakil Presiden (Wapres) terpilih Gibran Rakabuming Raka menyampaikan bahwa susunan kabinet pemerintahannya hampir rampung. Ia pun mengakui keterlibatan Presiden Joko Widodo atau Jokowi dalam penyusunan Kabinet Presiden RI terpilih Prabowo Subianto periode 2024-2029. Simak https://t.co/HDcWtHHTMa
1832907871194960177,Gila banget ya. Ini sih bangsatnya bangsat. Saya usul jika pak Prabowo sudah dilantik mohon serahkan akun fufufafa ini kepada tim forensik digital. Bahaya sekali provokasinya.. https://t.co/LWQQNVhVRe
1754148389372235822,setiap prabowo bilang makan gratis satu helai rambut ganjar menghitam
